Rank,Name,Walk Score,Transit Score,Bike Score,Population
1,Beltline,91,80,90,"19,232"
2,Downtown Commercial Core,91,87,84,"7,161"
3,Lower Mount Royal,88,63,84,"2,748"
4,Downtown West End,87,84,94,"2,382"
5,Cliff Bungalow,85,61,93,"2,049"
6,Eau Claire,83,84,76,"1,415"
7,Sunalta,82,69,92,"3,121"
8,Downtown East Village,79,84,91,"2,080"
9,Chinatown,79,86,85,"1,388"
10,Mission,76,65,90,"3,986"
11,Crescent Heights,76,69,70,"6,015"
12,Hillhurst,75,72,80,"5,240"
13,Sunnyside,75,74,91,"3,536"
14,Southview,74,53,42,"2,159"
15,Forest Lawn,69,57,50,"7,161"
16,Manchester,68,61,59,628
17,Capitol Hill,67,64,82,"4,031"
18,Bridgeland/riverside,67,66,71,"5,501"
19,Tuxedo Park,65,59,71,"4,704"
20,Windsor Park,64,56,71,"4,023"
21,Bankview,64,55,80,"4,753"
22,Upper Mount Royal,64,52,72,"2,656"
23,Country Hills Village,64,55,35,"2,333"
24,Hounsfield Heights/briar Hill,63,68,66,"2,480"
25,Scarboro,63,66,57,"1,005"
26,Renfrew,62,51,67,"5,607"
27,Castleridge,62,59,55,"6,169"
28,Killarney/glengarry,61,62,77,"6,620"
29,Kingsland,61,64,77,"4,511"
30,Meadowlark Park,60,62,82,636
31,Rosedale,59,67,66,"1,667"
32,Forest Heights,59,58,45,"6,207"
33,Rosscarrock,58,63,66,"3,296"
34,South Calgary,57,49,75,"3,722"
35,Elboya,57,55,61,"1,742"
36,Albert Park/radisson Heights,57,63,43,"6,475"
37,Rideau Park,55,52,61,561
38,Rundle,55,60,40,"11,366"
39,Marlborough,55,61,36,"8,671"
40,Winston Heights/mountview,55,52,59,"3,687"
41,Spruce Cliff,55,61,72,"3,275"
42,Rosemont,53,53,57,"1,164"
43,Richmond,53,57,68,"4,332"
44,Acadia,53,51,65,"10,648"
45,Brentwood,53,60,49,"6,184"
46,Whitehorn,53,59,52,"11,712"
47,Altadore,53,48,68,"9,078"
48,Parkhill,52,59,73,"1,555"
49,Erlton,52,63,72,"1,248"
50,Mount Pleasant,52,58,70,"5,064"
51,Haysboro,52,61,63,"6,468"
52,Ramsay,51,60,58,"2,023"
53,Fairview,50,59,69,"3,462"
54,Rutland Park,50,52,27,"2,124"
55,Temple,50,49,51,"10,831"
56,Glendale,49,62,46,"2,812"
57,Willow Park,49,51,64,"5,463"
58,Varsity,49,59,45,"11,885"
59,Montgomery,49,51,60,"3,899"
60,Cambrian Heights,49,50,53,"1,988"
61,Mayland Heights,48,43,36,"5,552"
62,Glamorgan,48,50,41,"6,312"
63,Shaganappi,48,66,61,"1,927"
64,Dalhousie,48,64,45,"8,741"
65,Marlborough Park,48,47,34,"8,705"
66,Harvest Hills,47,50,39,"6,532"
67,University Heights,47,67,51,"2,493"
68,Glenbrook,47,51,46,"7,078"
69,Greenview,47,56,59,"1,516"
70,Pineridge,46,42,48,"9,856"
71,Mckenzie Towne,46,46,61,"15,655"
72,Thorncliffe,45,58,37,"8,800"
73,Penbrooke Meadows,45,54,36,"8,548"
74,Collingwood,45,53,43,"2,403"
75,Britannia,45,45,67,812
76,Banff Trail,45,66,62,"3,323"
77,Taradale,45,56,53,"15,091"
78,Falconridge,45,51,51,"10,244"
79,Chinook Park,44,60,77,"1,643"
80,New Brighton,44,45,71,"8,520"
81,Country Hills,44,52,38,"3,536"
82,Inglewood,44,56,60,"2,840"
83,Southwood,43,62,60,"6,031"
84,Palliser,42,38,66,"3,204"
85,Ogden,42,46,62,"8,330"
86,Martindale,42,62,49,"13,085"
87,Lincoln Park,42,54,20,"2,374"
88,Walden,42,35,66,542
89,Deer Ridge,41,34,57,"4,194"
90,West Hillhurst,40,58,68,"5,854"
91,Midnapore,40,50,69,"6,306"
92,Red Carpet,40,52,30,"1,592"
93,Braeside,40,41,59,"5,936"
94,Ranchlands,39,50,45,"7,718"
95,Lake Bonavista,39,46,66,"10,716"
96,Kelvin Grove,38,55,72,"2,263"
97,Charleswood,38,59,49,"3,335"
98,Bowness,38,44,50,"10,417"
99,Pump Hill,37,41,60,"1,689"
100,University Of Calgary,37,61,16,"1,011"
101,Riverbend,37,46,64,"9,275"
102,Highland Park,37,59,65,"3,597"
103,Shawnessy,36,54,67,"8,936"
104,Dover,36,45,41,"10,603"
105,Queensland,36,35,64,"4,468"
106,St. Andrews Heights,36,66,42,"1,556"
107,West Springs,35,43,49,"7,000"
108,Silverado,35,32,59,"4,594"
109,Coach Hill,35,43,52,"3,282"
110,Woodlands,34,35,63,"5,828"
111,Bridlewood,34,35,52,"12,903"
112,Vista Heights,34,45,40,"2,006"
113,Oakridge,34,36,67,"5,637"
114,Aspen Woods,34,46,43,"4,840"
115,Signal Hill,33,52,37,"14,065"
116,Highwood,33,54,45,"2,174"
117,Elbow Park,33,49,58,"3,399"
118,Canyon Meadows,33,57,60,"7,556"
119,Arbour Lake,32,47,31,"11,090"
120,Panorama Hills,32,49,38,"19,804"
121,Abbeydale,32,46,30,"6,062"
122,Strathcona Park,32,49,42,"7,006"
123,Saddle Ridge,32,53,48,"12,854"
124,Huntington Hills,32,58,32,"13,250"
125,Woodbine,31,33,57,"8,864"
126,Westgate,31,55,53,"3,223"
127,Cfb - Lincoln Park Pmq,31,53,62,"1,082"
128,Wildwood,31,46,58,"2,520"
129,North Glenmore Park,31,52,57,"2,356"
130,Hawkwood,31,44,32,"9,960"
131,Somerset,30,56,59,"8,635"
132,Cedarbrae,30,37,59,"6,163"
133,Patterson,30,41,43,"4,168"
134,Beddington Heights,30,55,41,"11,588"
135,Lakeview,30,45,59,"5,399"
136,Mahogany,29,40,60,664
137,Christie Park,28,63,48,"2,133"
138,Skyview Ranch,28,35,33,"2,011"
139,Millrise,28,48,65,"6,926"
140,Silver Springs,27,46,35,"9,340"
141,Kincora,27,42,28,"4,918"
142,Cranston,27,39,60,"10,088"
143,Auburn Bay,27,40,46,"5,831"
144,Coral Springs,27,44,35,"6,004"
145,Scenic Acres,26,53,31,"8,345"
146,Evanston,26,40,29,"6,344"
147,Parkland,25,34,57,"3,559"
148,Monterey Park,25,40,38,"9,454"
149,Rocky Ridge,25,39,36,"7,669"
150,Edgemont,25,40,29,"16,361"
151,Applewood Park,25,48,28,"5,368"
152,North Haven,24,46,36,"2,249"
153,Coventry Hills,24,41,35,"13,830"
154,Douglasdale/glen,24,42,59,"11,874"
155,Parkdale,24,55,62,"2,329"
156,Copperfield,24,36,59,"5,650"
157,Tuscany,23,40,33,"18,300"
158,Chaparral,23,34,56,"10,932"
159,Royal Oak,23,44,35,"10,880"
160,Erin Woods,23,43,26,"6,494"
161,Evergreen,22,36,59,"16,004"
162,Springbank Hill,22,43,36,"8,499"
163,Bonavista Downs,22,33,52,"1,017"
164,Deer Run,21,32,58,"4,379"
165,North Haven Upper,20,45,37,694
166,Maple Ridge,19,32,50,"2,070"
167,Sherwood,19,40,38,"1,726"
168,Mckenzie Lake,19,38,56,"13,001"
169,Glenmore Park,18,37,50,951
170,Sundance,18,45,47,"10,634"
171,Hamptons,18,41,23,"7,949"
172,Citadel,18,40,37,"9,478"
173,Point Mckay,17,51,63,"1,290"
174,Cougar Ridge,17,38,46,"4,943"
175,Sandstone Valley,16,45,26,"6,393"
176,Macewan Glen,15,39,24,"5,152"
177,Greenwood/greenbriar,14,41,19,"1,052"
178,Shawnee Slopes,14,49,53,"1,380"
179,Hidden Valley,11,44,23,"11,499"
180,Valley Ridge,11,28,20,"4,726"
181,Sage Hill,10,37,27,"1,526"
182,Diamond Cove,9,35,52,751
183,Fish Creek Park,9,36,47,"6,933"
184,Discovery Ridge,7,29,17,"4,185"
185,Crestmont,2,28,18,"1,136"
